ID,FSCN1,ZYX,ARHGEF15,BGN,TMEM184B,CDC42BPB,RRBP1,ELK3,AASS,Type
S1,6.791531378,6.724139499,6.590631374,8.890152589,6.945258778,5.853870005,6.885485459,5.896114029,5.479162417,1
S2,6.383779206,6.275617103,6.17970348,8.082869272,6.867252878,5.727341203,6.681692948,5.868820571,5.683884525,1
S3,6.963826614,6.691952228,6.549624802,8.082869272,7.148347322,6.199279484,6.794401661,6.104781641,5.225187981,1
S4,6.830712049,6.881588686,6.758581844,8.507135435,7.222652865,6.060061931,7.01910098,6.275417724,5.662077406,1
S5,6.596160378,6.622638024,6.654165146,8.646988152,7.160156341,6.005118889,6.776268473,6.452778905,5.457525537,1
S6,6.593213061,5.273305411,6.514808228,7.717224375,6.604697217,5.390826369,6.192815177,5.907365149,5.423588737,1
S7,6.384487959,6.328616531,6.388879741,7.981790777,7.204957622,6.087861273,6.509415346,6.307168755,5.532701017,1
S8,6.869368973,6.632833638,6.32381345,8.616407646,6.946342777,6.110116222,6.624127717,6.148619119,5.756999817,1
S9,7.098030487,6.737619198,7.019196463,8.561979485,7.375111144,5.748833412,6.477771808,6.472318046,5.939334229,1
S10,6.836944595,6.347617435,7.018640203,8.846166724,7.320194179,6.338860246,6.965378294,6.73131209,5.255875017,1
S11,6.657098931,6.410427824,6.738438731,8.989330469,7.135472285,6.948059891,6.014244836,5.744922567,6.026058956,1
S12,6.777976741,6.895671704,6.368540354,8.292414417,7.278317811,5.590859228,6.290694954,5.943841577,5.719144501,1
S13,5.795308571,6.601687073,6.7048223,7.771374901,6.898346169,5.779661167,6.661521861,5.772047169,5.330167634,1
S14,7.018422072,6.915783875,6.866451149,8.804337288,7.069742943,5.892931029,6.440397729,6.637962368,5.580262437,1
S15,6.370675605,7.035751631,7.044771285,8.535513659,6.888759334,5.920526801,7.429840247,5.857991667,4.756043434,1
S16,5.743288417,5.866680545,5.279508561,6.591151787,6.540493949,5.774210602,6.117886792,5.129847542,6.442987464,1
S17,3.971147584,4.867987374,3.433413865,6.981353766,6.302248685,4.3480252,5.280550106,4.481746706,7.402527612,0
S18,4.179122585,5.232505969,5.01423366,7.188690698,5.31436526,4.667558106,5.401780743,4.812551847,7.113689836,0
S19,3.728572721,3.561873346,4.091846969,6.0922808,5.335425724,3.923304223,5.026962521,5.280441285,7.477808434,0
S20,3.509241804,5.155512225,4.873823592,6.608891216,5.61862948,5.039565689,6.040404182,3.809472691,7.838018437,0
S21,5.761345713,4.482296568,2.875459194,6.582957153,5.635401297,4.268986454,3.807977513,4.158918256,6.850912576,0
S22,5.094669852,5.405198482,4.778795633,6.554765697,4.423874042,5.054527409,5.231295539,4.639551688,7.490947171,0
S23,6.787796462,6.397105004,7.262067772,8.456374653,6.8528388,5.993267033,6.331726829,6.591424936,4.993104909,1
S24,7.769805822,7.233192339,6.699938525,8.095247658,7.43783333,6.296656797,7.01910098,6.545278053,6.246040996,1
S25,6.237980748,6.100694667,7.179714561,7.981790777,6.613147913,6.054217981,7.119118158,6.164207737,6.029953641,1
S26,6.931728956,6.257570323,6.634433779,8.561979485,7.363665878,6.248482396,6.093493626,6.669029294,5.468886256,1
S27,7.036005396,6.768141188,7.179714561,8.171028649,7.227492481,5.653233351,6.378087376,6.403665837,5.375398446,1
S28,6.387737712,6.517837728,5.779134614,8.012016701,6.241294191,6.064827867,6.743972185,5.796709623,5.952596697,1
