ID,ASPN,ISLR,SCN2B,HTRA1,HMGN2,SERPINA3,HMOX2,FCN3,GGT5,LAD1,ITPK1,FLII,FAM89B,TRIM8,Type
S1,7.895138924,7.78483994,5.671565535,16.63722907,10.5907334,6.268980334,10.57727901,2.664125798,5.261661474,4.088620404,5.267453777,7.666888962,6.633952522,6.17991671,1
S2,7.701885269,7.411297934,5.761506611,9.837899322,11.34441685,-9.697563428,4.559404093,4.907625627,5.089429916,4.042931609,4.891015787,8.285539394,5.428689092,5.758008713,1
S3,8.169113165,7.808026219,5.956217291,15.4599251,9.855074926,-1.361046616,7.355567554,-0.984916827,5.564553453,2.984568217,5.448324387,6.763773976,5.519261622,6.851168976,1
S4,7.521933648,10.43239113,3.162387297,28.5975788,12.27584634,12.01624368,-5.89422203,-5.508182136,6.487706108,1.744305586,3.868348703,8.357849766,6.567762397,6.351125264,1
S5,7.933250778,3.090602998,4.243710549,2.159164804,10.97297651,19.39846293,16.18942469,10.31814525,5.831502056,7.499866228,6.902193707,10.69558475,10.02414423,7.893562051,1
S6,8.273082363,7.500619499,6.008398242,11.62161593,10.01264158,-8.959820435,5.805724123,4.161122977,5.05950392,2.893680272,5.500391995,7.833165481,4.18009626,5.807112786,1
S7,8.859847752,9.13203072,5.514040332,18.38567104,10.83696924,0.269488416,5.811233496,2.030248621,5.378754554,3.573109196,6.136024043,8.049252111,8.015757326,7.211764576,1
S8,7.660371377,7.402935382,5.848054206,12.91467462,9.92430142,3.629183901,9.004266421,3.369399889,5.967772898,0.47015777,4.672104353,7.135121724,5.433767419,6.521363462,1
S9,7.495233667,6.05050674,6.13147462,14.64136726,9.673773783,-2.039813758,9.648416842,5.528778686,4.891710134,5.996037575,6.398869885,7.917750652,2.960866343,6.155243568,1
S10,7.597746788,5.947544783,5.596975288,12.83820448,10.07327143,-7.814140127,5.059791929,4.637562497,5.442032799,2.917255061,5.101384663,6.982979889,4.892717098,6.589611112,1
S11,8.176449175,6.020352838,6.068654426,16.55818083,10.36742708,-9.673427038,8.324100786,4.773237165,6.182257045,7.36477907,5.601898212,7.95989066,6.667040331,5.192911234,1
S12,8.02138045,7.875625231,5.587732641,12.34791856,9.723431529,-2.856027702,3.484119341,5.407001748,4.966067562,3.857688745,5.332868212,6.917651953,4.549263802,6.278626159,1
S13,8.259308445,7.871393217,5.35541359,12.12521147,8.606339457,2.456724164,5.280285112,1.854795807,5.34401403,4.062650483,5.613396686,8.182377653,4.788805824,6.809622975,1
S14,7.748398227,7.057951108,5.529538573,11.24214578,8.916330273,-11.8669015,6.374584182,2.215429406,5.962763673,3.498436392,5.691868419,7.691190462,4.929578403,6.517500931,1
S15,7.171905202,8.223808096,5.761202513,14.11529878,9.531850793,4.617697228,2.122331861,2.626975257,5.85006235,5.726663205,5.771230124,7.858129466,6.29067914,7.003604581,1
S16,7.495562348,7.381508125,5.510055486,9.79633075,9.855074926,3.17538161,6.241395156,4.621542422,5.885638438,4.255405113,5.566968238,6.113505788,3.653405288,6.597340358,1
S17,7.266114836,5.245700506,5.796898363,9.442770135,10.00800219,-10.88962755,5.460416698,2.775598604,4.685640897,3.793343692,6.395434296,7.268950708,5.859127662,7.12933758,1
S18,7.880036654,8.4224092,5.571711161,12.8011665,10.23793459,-1.369319691,2.799589103,6.809740535,5.464136378,1.357857025,4.836618655,6.235624,4.742504346,7.04556403,1
S19,4.994478529,1.034892337,5.805411536,2.355052419,9.126006774,10.77656352,15.05958572,16.03999358,5.994621308,7.3889447,7.890997192,8.233735155,8.006756698,8.253811793,0
S20,7.043695451,3.046204601,4.20918366,1.077530788,7.807087335,21.59640717,11.96699489,9.563626263,6.535027539,6.581265179,6.898563635,8.811740083,7.322622742,8.4130456,0
S21,7.464517795,2.736545074,4.568455536,2.854091013,8.791720483,15.14982895,18.03499231,15.79183844,5.804426884,8.011681626,7.278780121,8.233735155,7.985863259,7.312317378,0
S22,5.014662274,3.84295018,4.430786387,6.412794453,9.887418769,24.78342676,14.50375711,10.31131463,6.792895323,7.923118032,6.913134087,7.778315161,7.644698027,6.980857483,0
S23,6.44148248,2.661427374,3.615773367,-2.260060743,5.885862194,14.25831151,20.58735933,17.77447328,6.79410716,12.349708,8.315176051,11.62125524,11.12884211,9.51328671,0
