"ID","Type","PRDX4","CHI3L1","STEAP1","SCG2","SLC16A10","GSN","ZBTB16","PFKFB3"
"normal_tissue_1","0",7.61417609422582,7.52004275265659,4.93142271262681,2.63450268156558,2.87000986256135,11.1220891108148,6.73727251517361,8.6998069767911
"normal_tissue_2","0",7.34929641786796,6.0778680265119,5.57438734365449,3.59673587919122,6.56176123953776,9.85304139210776,8.6062075445673,9.12705660893614
"normal_tissue_3","0",7.66117910363882,6.22933477714581,6.20987060075243,2.99140968651899,2.60005208279898,11.8857146148637,7.98982083962678,10.0012917565493
"normal_tissue_4","0",7.76026021275495,10.0102663462913,6.46861356798956,6.32869465935046,3.29083113864991,10.7530120499837,5.73919341143764,8.00537106605161
"normal_tissue_5","0",7.71385120911528,5.42249183040531,6.14821179067143,3.03164994685794,2.56436547998491,12.0460321093191,8.56075345228568,10.6548048362602
"normal_tissue_6","0",7.22746941139783,9.03870816736557,5.91521428330002,4.38106338312927,3.12543970505369,10.9390069273209,6.44053854163024,7.59267982082052
"normal_tissue_7","0",8.17298730077274,8.6933598936076,7.04983893923392,5.97228078996293,4.39574236104766,11.3240094747523,6.61988839072196,7.91934415480363
"normal_tissue_8","0",8.05035180397886,7.71520422720618,6.34243666467125,2.43112702188078,2.89403538660961,11.4342977844062,8.152542534304,7.89864181889664
"normal_tissue_9","0",8.00326243658871,7.67794085555034,6.60454291018238,3.12443452869298,4.06936435764417,11.0630397680337,7.21728069424755,7.67432888578803
"normal_tissue_10","0",7.47996360852543,6.2322559790588,6.80307580920931,6.72121336552782,2.81319957521539,11.2965083622451,7.07652709551881,7.40535468083848
"normal_tissue_11","0",7.95467348048603,10.5591348784318,5.43486488737538,4.46884437073268,2.76027802572844,10.361750132298,5.95369175843584,8.36714314349557
"normal_tissue_12","0",7.49291584560776,6.88548117556453,6.79398504149064,3.55183125651085,2.56492034506951,11.8857146148637,8.55874178679083,9.88857538723837
"normal_tissue_13","0",8.4796713834105,9.23715616612256,5.30379409526321,4.0895660867424,2.85246778292908,10.8097640537092,6.70845482382066,8.1814465773361
"normal_tissue_14","0",6.80749765024079,8.33680797652348,5.26455048221098,3.62891078504692,2.73050595466852,11.6967436445711,8.47620815475426,9.43175971596418
"normal_tissue_15","0",7.73476914460397,7.49889271654882,6.98084959492572,2.39843678423458,2.80914738754719,10.024030698305,7.12976812609248,7.47219035878012
"normal_tissue_16","0",7.81016730032519,8.51125821368889,5.88234066395481,2.22489088258345,3.59603566342327,11.0305723897699,8.66645213150054,9.48617917401171
"normal_tissue_17","0",8.07052398842809,8.77452913980413,6.97264570653183,3.56705028625014,3.3546756319365,10.1642562452911,6.88821044455714,7.18323012434047
"normal_tissue_18","0",7.62410020766847,8.59583397908427,3.98623095528618,4.01541297149292,2.81451441252684,11.4551276863681,7.83068392516178,8.53275570079752
"normal_tissue_19","0",8.49262457063726,8.12911677996397,6.29813208764551,3.65225042801691,3.06554079888722,10.5290344652817,4.91743256334817,7.4359675044562
"normal_tissue_20","0",6.9886333233619,7.00241805910543,5.83339392055899,2.21027478667094,3.12113231123783,11.1220891108148,7.81317253976035,7.02795062860862
"normal_tissue_21","0",7.552497648551,8.75586266931691,4.93296375150859,4.05174204053742,2.68622932772567,10.6830927393953,7.78769521693986,9.14545283568699
"normal_tissue_22","0",7.69795296552315,5.97495021727603,5.82008144637303,3.2356220890982,3.20853361235303,11.1552764818643,6.91147159183692,7.96779579935671
"normal_tissue_23","0",7.95071686407461,7.08516571675845,4.24903978333071,2.60444098728428,3.29266080264235,11.4342977844062,8.81949326179599,9.08669724018845
"normal_tissue_24","0",7.79483060716996,8.91482926308205,4.26135049530862,2.39243797145271,2.88452351331965,11.8013537094717,8.01383142923645,9.14724886378927
"normal_tissue_25","0",8.13386821422711,6.87338792734167,4.58291468273002,2.92236742408495,2.78716965388782,11.3240094747523,8.34647070562924,8.73145444541586
"normal_tissue_26","0",7.30579545418471,6.78371054629857,6.01032491344941,3.65765195790597,2.90852223560511,11.6256671457635,8.19179917655384,10.3961129969638
"normal_tissue_27","0",7.39750944965592,8.31482981431058,6.14831037981069,3.51702761941501,2.70789012546262,11.3240094747523,8.09002062649613,9.3933098144758
"normal_tissue_28","0",8.25940548877534,9.62765428499316,5.5209161858791,4.88197202145213,3.11424618169937,10.7875381453999,6.32761505255108,8.05780542314012
"OA_tissue_1","1",8.23299099879558,8.85938377890828,6.67994432109875,4.12804600948036,2.55466895518205,10.3510381908909,6.86452687392142,6.48204129723839
"OA_tissue_2","1",8.48902754851581,10.6604791746467,7.7776690248576,4.49040557518586,4.83038170396024,9.94910833920981,6.67636284209189,6.79250816477337
