"ID","Type","DEF8","PDK4","BAG3","VEGFA","MAFF","SLC7A2","SLC16A6","SPA17","CX3CR1","P2RY13","PVALB"
"GSM439778","1",7.27094308897345,4.68799287382451,5.77787001711101,7.04703477227312,4.65787682741994,4.42107211782057,4.70077762098785,4.3819660290942,4.71318240855882,4.13736962632837,5.77334561702284
"GSM439779","0",7.09042862397937,4.65492614530555,5.03417497827779,5.764785970727,3.52121846536192,4.34234257003729,4.80533412357266,4.8583986089584,5.12455904606407,4.13545364741186,4.83869090454242
"GSM439780","0",4.86406832525966,5.21891416048703,4.98786188295914,4.95159346582536,3.81934465355927,4.68649124622123,4.92144132825898,4.82680192046052,5.48694740577569,4.45724202405272,5.6578123280383
"GSM439781","1",6.2255212118387,5.38204772440577,5.29046467626368,6.09996270490152,3.8254913938944,4.3439693523897,2.95663081147106,4.63974808624562,6.33909595986275,3.83274965794338,5.56335429550149
"GSM439782","0",7.49388249188355,5.55926727372064,4.92328506080725,4.83916868790974,4.06518084131857,3.92777746444522,5.13524288532953,4.87105763204564,2.6432277269407,2.51774119779367,5.92594392633302
"GSM439783","0",5.98885649001445,5.19938157060376,4.96920283708192,6.65489040322675,3.06446599570881,3.72980440616993,5.27401184268804,4.88411785807731,3.76291187262972,2.24822963505646,5.8935847189195
"GSM439784","1",6.13697279807199,6.09023329630251,5.87568706099602,3.35478577896411,4.1356056284762,2.80683914722918,4.78610618084944,4.41708253454403,6.80822312437454,4.15551116734308,5.44145872153452
"GSM439785","1",7.2970688966188,5.60871337524534,6.43341204537394,6.66980310079292,3.67306739846615,4.47267053244666,4.30443497148108,4.78941615943735,4.1066204535739,2.37913708006628,6.31007372757691
"GSM439786","1",5.96055500358604,6.12471364773618,8.09175739366243,7.30581013962893,7.35609620300444,6.11726178067541,5.04611445774451,2.96916398279618,2.55291067829482,2.31802195240746,4.10136343947942
"GSM439787","0",5.95222681029674,7.63260879868434,6.16267631579365,7.20711941873298,5.20349012094418,4.91168229932889,4.68493232316475,3.75662928854165,5.21415512277047,3.65007199049202,4.42293277847941
"GSM439788","0",5.81507269727793,5.49776925772371,6.37518118826755,5.40885948499265,5.13691343487237,5.13990559752377,3.65394063606562,4.13673035610983,4.48692923251168,3.45189872574227,5.21257947752066
"GSM439789","0",5.843249820576,3.34509447445667,3.72300727071603,5.24100295188064,3.2234445954771,2.9442493825933,4.14911520091601,5.10198993473038,4.20171355770739,2.57733379968147,6.11561659165797
"GSM439790","1",5.1090610273572,5.51044482687935,5.41780005856663,6.40488024140952,3.78469192030611,5.12331551861827,4.3314174242959,3.61698666624565,5.88635885319595,3.80619597978514,6.93081002523609
"GSM439791","1",6.13535472322558,6.19332773623078,4.69056266510329,4.57990663432679,3.72297549905068,4.49259399454409,3.43206218578469,5.41778405894286,4.81051555839408,3.69967431850085,6.09934060017731
"GSM439792","0",5.74880588863468,5.2850859915965,4.34818061132473,5.60288957949607,3.40757607574045,4.24167098964052,4.72431460846306,5.14197506206464,5.00567046946518,4.30242251125728,5.68503906464415
"GSM439793","0",6.09851511559377,6.94260238303757,5.58888334168398,5.97714635881667,4.42727380593695,4.56855700719722,3.88843830294229,4.12415000500664,6.1446300671092,2.29022287612659,4.5112453210494
"GSM439794","1",6.42450094321774,4.47370529879606,4.39301921307362,6.21522709918756,3.81859514695959,3.44809834842305,5.10168331998984,4.8999021372468,4.5275688653131,2.42992588174222,6.61160546423199
"GSM439795","1",6.08637191071906,6.1272400345972,5.83123607668395,7.35675850161694,6.05278472554707,5.07556447041544,5.42036058266386,4.66399034885065,5.67169877915627,4.27535339898833,3.25976005848978
"GSM439796","1",6.28160315559676,4.54577052109313,4.22717279444224,5.86361901998209,3.2091533646232,3.92983287812008,4.78482778057086,4.77447066928847,5.52305480334198,2.86714428169997,6.22479217070262
"GSM439797","0",6.12161044772511,5.28213542857113,7.3842565759607,6.98974993062868,4.9919750545822,4.46465854115615,4.46449573048152,5.58661075535624,4.85234404275881,2.15183931882578,5.84633324845593
"GSM439798","1",6.43362374590436,5.4912655153786,7.2165149853754,7.0643262926286,5.4245981988548,5.78152598734869,3.76430561403859,4.23421296880022,4.42198285674335,3.02934598014902,5.20344221059496
"GSM439799","0",5.80740503283742,4.51979943772798,5.74810093474578,4.59881312556532,5.45000354408655,4.78738447774786,4.52083815315155,4.84632743794788,3.14696757968849,3.19010082957169,4.81396769503494
